N,pi(N),density,1/log N,abs_error
100,25,0.25,0.21714724095162588,0.03285275904837412
200,46,0.23,0.18873916581775485,0.04126083418224516
300,62,0.20666666666666667,0.17532225403814608,0.031344412628520585
400,78,0.195,0.16690410034766703,0.028095899652332973
500,95,0.19,0.1609111924940025,0.029088807505997516
600,109,0.18166666666666667,0.15632499556792623,0.025341671098740443
700,125,0.17857142857142858,0.1526465787101929,0.025924849861235666
800,139,0.17375,0.14959732004492532,0.02415267995507467
900,154,0.1711111111111111,0.14700705189760302,0.024104059213508083
1000,168,0.168,0.14476482730108395,0.023235172698916062
1100,184,0.16727272727272727,0.14279460985836434,0.024478117414362927
1200,196,0.16333333333333333,0.1410421950512668,0.022291138282066525
1300,211,0.16230769230769232,0.139467688640361,0.022840003667331327
1400,222,0.15857142857142856,0.13804094333676004,0.020530485234668522
1500,239,0.15933333333333333,0.13673866601439427,0.022594667318939055
1600,251,0.156875,0.1355425153409084,0.0213324846590916
1700,266,0.1564705882352941,0.13443781111324915,0.02203277712204496
1800,278,0.15444444444444444,0.133412634801666,0.021031809642778426
1900,290,0.15263157894736842,0.13245718793173197,0.02017439101563645
2000,303,0.1515,0.1315633249239519,0.0199366750760481
2100,317,0.15095238095238095,0.13072420673483418,0.020228174217546774
2200,327,0.14863636363636365,0.1299340398792469,0.01870232375711675
2300,342,0.14869565217391303,0.12918787691561923,0.019507775258293808
2400,357,0.14875,0.12848146191104381,0.02026853808895618
2500,367,0.1468,0.12781110931766573,0.01898889068233428
2600,378,0.1453846153846154,0.1271736080052602,0.018211007379355187
2700,393,0.14555555555555555,0.12656614446987832,0.018989411085677227
2800,407,0.14535714285714285,0.1259862408263745,0.019370902030768355
2900,419,0.14448275862068966,0.1254317043178714,0.019051054302818254
3000,430,0.14333333333333334,0.12490058588372875,0.01843274744960459
3100,442,0.14258064516129032,0.12439114591599425,0.018189499245296073
3200,452,0.14125,0.12390182576764333,0.017348174232356656
3300,463,0.1403030303030303,0.12343122389855427,0.016871806404476025
3400,478,0.14058823529411765,0.1229780757878599,0.017610159506257758
3500,489,0.1397142857142857,0.12254123692562169,0.01717304878866402
3600,503,0.13972222222222222,0.12211966833798615,0.017602553884236066
3700,516,0.13945945945945945,0.12171242420909097,0.017747035250368484
3800,528,0.13894736842105262,0.12131864124795023,0.01762872717310239
3900,539,0.1382051282051282,0.12093752951519847,0.017267598689929733
4000,550,0.1375,0.12056836447722281,0.016931635522777197
4100,565,0.1378048780487805,0.12021048009707783,0.017594397951702673
4200,574,0.13666666666666666,0.11986326280507135,0.016803403861595304
4300,590,0.1372093023255814,0.11952614621886846,0.017683156106712936
4400,599,0.13613636363636364,0.1191986065047765,0.01693775713158714
4500,610,0.13555555555555557,0.11888015828962503,0.016675397265930536
4600,622,0.13521739130434782,0.11857035104716901,0.016647040257178808
4700,634,0.13489361702127659,0.1182687658948697,0.01662485112640688
4800,646,0.13458333333333333,0.1179750127467514,0.01660832058658193
4900,654,0.13346938775510203,0.11768872777619341,0.015780659978908623
5000,669,0.1338,0.11740957114930958,0.01639042885069042
